"ligand","wd_S1_mean","wd_S1_sd","wd_S2","pmf_range","AAI","AAI_sd","AAI_lo","AAI_hi"
"APO",36.1566666666667,5.89740903561329,12,30.5165687524618,3.01305555555556,0.507232820190901,2.50582273536465,3.52028837574646
"AZD5305",27.4266666666667,0.695149863938227,12,29.3031101908517,2.28555555555556,0.111466686064469,2.17408886949109,2.39702224162002
"niraparib",42.9866666666667,7.96693374726647,3.9,30.6453211824819,11.0222222222222,2.48393098737779,8.53829123484443,13.5061532096
"olaparib",56.0566666666667,14.9341432072059,11.8,30.4102173678886,4.75056497175141,1.28151342023009,3.46905155152132,6.0320783919815
"rucaparib",48.3333333333333,7.24219810094514,11.9,30.4883859577429,4.06162464985994,0.632062565075011,3.42956208478493,4.69368721493495
"veliparib",64.6233333333333,32.4772987382469,11.9,29.1059229458345,5.43053221288515,2.73870639160182,2.69182582128333,8.16923860448698
