"PC","Variance"
1,38.7287202774133
2,21.0074327090175
3,10.6571061567206
4,8.33198181238071
5,5.80347961899012
6,3.7039832080138
7,2.7570590428345
8,1.70711363767559
9,1.00488744482243
10,0.733379441381895
11,0.612431132476062
12,0.451099297703853
13,0.357620570553195
14,0.314305844705644
15,0.294223667243417
16,0.240287940869608
17,0.198196796045154
18,0.187443338692586
19,0.175879332204226
20,0.157913987040662
21,0.138611363974483
22,0.122315401633855
23,0.113567695461868
24,0.106914190220548
25,0.0993086156456404
26,0.0938028500643858
27,0.0876315504152116
28,0.0734765996775024
29,0.0669135728094636
30,0.0658345915953368
31,0.0556022619248542
32,0.0504805883348107
33,0.0480178818712226
34,0.0443589823999628
35,0.0429951995431055
36,0.0388226839456623
37,0.0385624672304548
38,0.0355757400622779
39,0.0320105009020229
40,0.0306480285135334
41,0.0292237952026322
42,0.0277733468572164
43,0.0257261733059749
44,0.0249728341541341
45,0.0236838025441122
46,0.0225322909703243
47,0.0219580608353831
48,0.0212216514409314
49,0.0206890868020036
50,0.0194381786363827
51,0.0191890185570335
52,0.0188511912674556
53,0.0176952142928137
54,0.0170049432087847
55,0.0162288874427282
56,0.0158216721068116
57,0.0147341031365227
58,0.014495616804993
59,0.0136915827391457
60,0.0133948337493021
61,0.0130714640635677
62,0.0122077843531781
63,0.0117485672096462
64,0.0114707923868354
65,0.0111749851759438
66,0.0107890385066622
67,0.0105148861504613
68,0.0101329970654405
69,0.00975589213639674
70,0.0096088800626608
71,0.00945157445406495
72,0.00917644462102524
73,0.00899497188602104
74,0.00862486373596085
75,0.00844508969963916
76,0.00815927509572697
77,0.00801823834356565
78,0.00771388212981423
79,0.0075340704074889
80,0.0071432351589206
81,0.00694580547485126
82,0.0068505798312469
83,0.00667375767869781
84,0.00658109965240608
85,0.00655093275638685
86,0.00644136082170463
87,0.00623275148216329
88,0.00610320813921371
89,0.00588559491024004
90,0.00582573965782658
91,0.00571369621080576
92,0.00561750757334179
93,0.00556621202136326
94,0.0054251297937038
95,0.00535827563860663
96,0.00514947765884105
97,0.00511574512319976
98,0.00497425759678699
99,0.00486544885570543
100,0.00468539610532744
101,0.00464640693400716
102,0.00459215150740307
103,0.00450101641415916
104,0.0044720759746393
105,0.00434387805186431
106,0.00427951401124626
107,0.00421928812275128
108,0.00411347659252875
109,0.00399748070850795
110,0.00395964250896482
111,0.00384869104483848
112,0.0038208114746088
113,0.00374530842836632
114,0.00369429160657718
115,0.00362505452589367
116,0.00355321219972239
117,0.00352168400462767
118,0.0034382723954655
119,0.00340632255743541
120,0.00339388413693514
121,0.00335554698046485
