"System","Type","PC1","PC2","PC3"
"APO","APO",-0.74600860735278,-2.20511689393346,-1.44529322896123
"AZD5305","Unknown",-1.37006856450849,4.35862716315768,-1.43217608162248
"talazoparib","Type_II",-4.91853232029807,-1.53271835333498,2.55420103300699
"veliparib","Type_III",1.53675126592943,2.53635432122807,2.41873074287747
"niraparib","Type_III",0.193168764409661,-0.593022272244813,-2.44570257452559
"olaparib","Type_II",4.42244646067535,-1.33697253495632,1.6860580790577
"rucaparib","Type_III",0.882243001144903,-1.22715142991617,-1.33581796983287
