"System","Type","PC1","PC2","PC3"
"APO","APO",-2.09910078273164,-0.602065347848594,-0.742859254873542
"AZD5305","Unknown",3.23493065369897,3.2624023093588,-2.67469050955186
"talazoparib","Type_II",-3.63245993859462,3.49681728499137,2.5500627220862
"veliparib","Type_III",5.84397325696202,-0.810702900699852,2.27814514155217
"niraparib","Type_III",-1.56294497940722,-1.19467058037612,-2.2305502348709
"olaparib","Type_II",-0.719466537872758,-1.92851161831771,1.24349765239338
"rucaparib","Type_III",-1.06493167205475,-2.2232691471079,-0.42360551673545
