"ligand","wd_C1","wd_C2","wd_C3","wd_mean","wd_sd","wd_range","rc_min_C3","pmf_cor_C2C3"
"APO",30.8369092099817,35.1329756351001,42.4985895882366,36.1561581444394,5.89778552905304,11.6616803782549,23.5,0.994754392024424
"AZD5305",26.8278414524664,27.2603092452144,28.1879423334875,27.4253643437228,0.694910779018641,1.3601008810211,22.8,0.999909494285794
"niraparib",35.9036812154428,41.4518422629484,51.6115176640968,42.9890137141627,7.96594021614753,15.707836448654,25.1,0.976341071146858
"olaparib",39.6590617395287,59.626783385195,68.8807354510918,56.0555268586052,14.9345893318262,29.2216737115632,23.3,0.888752420217649
"rucaparib",40.0364641572823,51.5508581003684,53.410090564278,48.3324709406429,7.24444495809637,13.3736264069957,22.2,0.919526967712872
"talazoparib",30.4070508403045,30.4121985899595,30.4094036139146,30.4095510147262,0.00257703839258663,0.00514774965491327,23.7,0.999999894804844
"veliparib",38.6946694227287,54.1322952085315,101.051517562577,64.626160731279,32.4759147321696,62.356848139848,22.4,0.870833295398128
