"ligand","well_depth_S1","well_depth_S2","rc_range_S1","rc_range_S2","barrier_S1","barrier_S2","well_depth_ratio","rc_range_ratio"
"Veliparib",101.051517562577,29.1059229458345,3.50000000000005,2.00000000000003,101.051517562577,29.1059229458345,3.47185408793362,1.75
"Olaparib",68.8807354510918,30.4102173678886,3.20000000000005,2.00000000000003,68.8807354510918,30.4102173678886,2.26505238741983,1.6
"Rucaparib",53.410090564278,30.4883859577429,2.70000000000004,2.20000000000003,53.410090564278,30.4883859577429,1.75181758189183,1.22727272727273
"Niraparib",51.6115176640968,30.6453211824819,2.50000000000004,1.90000000000003,51.6115176640968,30.6453211824819,1.68415652610618,1.31578947368421
"APO",42.4985895882366,30.5165687524618,3.00000000000004,2.20000000000003,42.4985895882366,30.5165687524618,1.39263984535641,1.36363636363636
"Talazoparib",30.4094036139146,30.6134312001333,3.80000000000005,2.20000000000003,30.4094036139146,30.6134312001333,0.993335357122012,1.72727272727273
"AZD5305",28.1879423334875,29.3031101908517,3.00000000000004,1.90000000000003,28.1879423334875,29.3031101908517,0.961943703241702,1.57894736842105
