"System","Type","mean_PC1","sd_PC1","mean_PC2","sd_PC2","total_var"
"APO","APO",-24.7327601877441,70.9958158812731,-183.114478832557,69.8717838858549,9922.47205603925
"AZD5305","Unknown",-336.740438208119,109.081694482408,27.4526703552782,72.6808747270774,17181.3256222466
"Talazoparib","Type_II",164.518367987506,62.8077209556602,187.309217660737,74.7898085214974,9538.32527032632
"Veliparib","Type_III",-42.9008675751364,90.20228852992,116.115358649333,36.1986662180656,9446.79629200187
"Niraparib","Type_III",215.338781910941,40.8929834535731,-133.11263436923,33.0841710212903,2766.79846790019
"Olaparib","Type_II",4.06775890082295,59.5424206400603,-30.3877033159872,32.8323007835974,4623.25983042249
"Rucaparib","Type_III",10.7436201892718,73.1867879962306,19.9073473707874,42.6627910385597,7176.41967640501
