10.9576 0.0000 6.5307
8.6433 0.0000 5.1514
6.1611 0.0000 3.6720
18.6032 0.0000 11.0875
16.6238 0.0000 9.9078
7.8748 0.0000 4.6934
14.2097 0.0000 8.4690
7.4520 0.0000 4.4414
16.5446 0.0000 9.8606
6.9631 0.0000 4.1500
5.8065 0.0000 3.4607
11.1561 0.0000 6.6490
7.2002 0.0000 4.2913
4.0301 0.0000 2.4019
9.4972 0.0000 5.6603
16.0353 0.0000 9.5571
8.0253 0.0000 4.7831
7.2373 0.0000 4.3134
17.1986 0.0000 10.2504
8.1829 0.0000 4.8770
7.9871 0.0000 4.7603
8.5220 0.0000 5.0791
3.5064 0.0000 2.0898
8.3314 0.0000 4.9655
7.9008 0.0000 4.7089
6.6249 0.0000 3.9484
3.0668 0.0000 1.8278
3.5306 0.0000 2.1042
4.5778 0.0000 2.7284
4.9654 0.0000 2.9594
11.1027 0.0000 6.6172
8.1415 0.0000 4.8523
8.5192 0.0000 5.0774
7.9320 0.0000 4.7275
11.7267 0.0000 6.9891
13.3210 0.0000 7.9393
13.9372 0.0000 8.3066
14.7677 0.0000 8.8016
13.2275 0.0000 7.8836
4.5932 0.0000 2.7376
4.5366 0.0000 2.7038
12.7696 0.0000 7.6107
8.9627 0.0000 5.3418
9.3559 0.0000 5.5761
18.1642 0.0000 10.8258
9.5583 0.0000 5.6968
8.8636 0.0000 5.2827
9.1159 0.0000 5.4331
9.9087 0.0000 5.9056
17.5579 0.0000 10.4645
8.1297 0.0000 4.8453
7.5059 0.0000 4.4735
11.1915 0.0000 6.6701
3.1377 0.0000 1.8701
6.4725 0.0000 3.8576
7.3423 0.0000 4.3760
8.9439 0.0000 5.3306
10.3548 0.0000 6.1714
7.4173 0.0000 4.4207
7.5352 0.0000 4.4910
8.4841 0.0000 5.0565
12.7832 0.0000 7.6188
9.1378 0.0000 5.4461
10.0505 0.0000 5.9901
6.1589 0.0000 3.6707
5.5569 0.0000 3.3119
10.1569 0.0000 6.0535
5.2644 0.0000 3.1376
9.1025 0.0000 5.4251
8.5243 0.0000 5.0805
1.7482 0.0000 1.0419
12.5367 0.0000 7.4719
5.9597 0.0000 3.5520
12.9919 0.0000 7.7432
6.0881 0.0000 3.6285
14.0582 0.0000 8.3787
3.9408 0.0000 2.3487
6.1871 0.0000 3.6875
5.2045 0.0000 3.1019
10.0635 0.0000 5.9978
9.9258 0.0000 5.9158
5.7863 0.0000 3.4486
7.9204 0.0000 4.7205
1.6681 0.0000 0.9942
8.1266 0.0000 4.8434
14.5819 0.0000 8.6908
5.8607 0.0000 3.4930
8.1447 0.0000 4.8543
5.1455 0.0000 3.0667
4.0453 0.0000 2.4110
9.4152 0.0000 5.6114
9.6963 0.0000 5.7790
8.7143 0.0000 5.1937
10.4823 0.0000 6.2474
4.3274 0.0000 2.5791
14.4419 0.0000 8.6074
7.8504 0.0000 4.6788
7.8683 0.0000 4.6895
9.6823 0.0000 5.7707
5.6488 0.0000 3.3667
8.8709 0.0000 5.2871
7.1097 0.0000 4.2374
11.3143 0.0000 6.7433
8.8119 0.0000 5.2519
11.9740 0.0000 7.1365
13.9516 0.0000 8.3152
10.4464 0.0000 6.2260
6.3194 0.0000 3.7664
12.7579 0.0000 7.6037
6.8629 0.0000 4.0903
14.1497 0.0000 8.4332
14.4055 0.0000 8.5857
13.3039 0.0000 7.9291
16.1253 0.0000 9.6107
7.8966 0.0000 4.7064
9.6682 0.0000 5.7622
7.9564 0.0000 4.7420
6.4649 0.0000 3.8531
11.4835 0.0000 6.8442
5.3744 0.0000 3.2031
5.9454 0.0000 3.5435
13.1154 0.0000 7.8168
2.1088 0.0000 1.2568
19.0793 0.0000 11.3712
12.2255 0.0000 7.2864
11.0902 0.0000 6.6097
12.5632 0.0000 7.4876
12.8963 0.0000 7.6862
10.3129 0.0000 6.1465
3.5018 0.0000 2.0871
13.1913 0.0000 7.8620
15.1375 0.0000 9.0219
3.6817 0.0000 2.1943
8.3394 0.0000 4.9703
13.1682 0.0000 7.8482
9.8522 0.0000 5.8719
7.5818 0.0000 4.5187
16.0335 0.0000 9.5560
6.0914 0.0000 3.6305
7.7713 0.0000 4.6317
5.5227 0.0000 3.2916
11.1687 0.0000 6.6565
7.2096 0.0000 4.2969
7.7313 0.0000 4.6079
3.8538 0.0000 2.2969
9.7813 0.0000 5.8297
7.3926 0.0000 4.4060
9.2284 0.0000 5.5002
7.7024 0.0000 4.5906
9.7722 0.0000 5.8242
11.8098 0.0000 7.0386
8.8520 0.0000 5.2758
5.4708 0.0000 3.2606
5.6518 0.0000 3.3684
13.0128 0.0000 7.7556
11.6429 0.0000 6.9392
12.9473 0.0000 7.7166
9.0807 0.0000 5.4121
3.5551 0.0000 2.1188
11.6944 0.0000 6.9699
10.4991 0.0000 6.2574
9.7623 0.0000 5.8183
2.6404 0.0000 1.5737
10.4306 0.0000 6.2167
7.5567 0.0000 4.5038
6.7200 0.0000 4.0051
14.3142 0.0000 8.5312
5.7378 0.0000 3.4197
5.2803 0.0000 3.1471
4.3253 0.0000 2.5779
16.4169 0.0000 9.7845
11.1139 0.0000 6.6239
13.2693 0.0000 7.9085
10.9944 0.0000 6.5526
10.3510 0.0000 6.1692
5.7122 0.0000 3.4045
7.8006 0.0000 4.6492
5.8449 0.0000 3.4836
4.1633 0.0000 2.4813
4.8609 0.0000 2.8971
3.0347 0.0000 1.8087
2.5352 0.0000 1.5110
14.3975 0.0000 8.5809
5.2091 0.0000 3.1046
8.4122 0.0000 5.0137
4.8282 0.0000 2.8776
9.1832 0.0000 5.4732
4.3429 0.0000 2.5884
9.3328 0.0000 5.5623
6.9826 0.0000 4.1616
7.8845 0.0000 4.6992
9.8642 0.0000 5.8791
6.1822 0.0000 3.6846
7.7707 0.0000 4.6313
3.1070 0.0000 1.8518
4.7155 0.0000 2.8104
9.5233 0.0000 5.6759
